"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/10/2019","54","","Near Road","11-001-0051","AQS"
"11/11/2019","61","","Near Road","11-001-0051","AQS"
"11/12/2019","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"11/13/2019","20","","Near Road","11-001-0051","AQS"
"11/14/2019","45","","Near Road","11-001-0051","AQS"
"11/15/2019","65","","Near Road","11-001-0051","AQS"
"11/16/2019","29","","Near Road","11-001-0051","AQS"
"11/17/2019","17","","King Greenleaf Rec Center","11-001-0053","AQS"
"11/18/2019","43","","Near Road","11-001-0051","AQS"
"11/19/2019","54","","RIVER TERRACE","11-001-0041","AQS"
"11/20/2019","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/21/2019","48","","Near Road","11-001-0051","AQS"
"11/22/2019","33","","Near Road","11-001-0051","AQS"
"11/23/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/24/2019","18","","Near Road","11-001-0051","AQS"
"11/25/2019","44","","Near Road","11-001-0051","AQS"
"11/26/2019","57","","Near Road","11-001-0051","AQS"
"11/27/2019","52","","Near Road","11-001-0051","AQS"
"11/28/2019","8","","Near Road","11-001-0051","AQS"
"11/29/2019","18","","Near Road","11-001-0051","AQS"
"11/30/2019","28","","Near Road","11-001-0051","AQS"
"12/01/2019","24","","Near Road","11-001-0051","AQS"
"12/02/2019","15","","Near Road","11-001-0051","AQS"
"12/03/2019","16","","RIVER TERRACE","11-001-0041","AQS"
"12/04/2019","24","","Near Road","11-001-0051","AQS"
"12/05/2019","15","","RIVER TERRACE","11-001-0041","AQS"
"12/06/2019","31","","RIVER TERRACE","11-001-0041","AQS"
"12/07/2019","26","","Near Road","11-001-0051","AQS"
"12/08/2019","43","","RIVER TERRACE","11-001-0041","AQS"
"12/09/2019","30","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/10/2019","27","","RIVER TERRACE","11-001-0041","AQS"
"12/11/2019","18","","RIVER TERRACE","11-001-0041","AQS"
"12/12/2019","39","","RIVER TERRACE","11-001-0041","AQS"
"12/13/2019","53","","RIVER TERRACE","11-001-0041","AQS"
"12/14/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/15/2019","21","","RIVER TERRACE","11-001-0041","AQS"
"12/16/2019","45","","Near Road","11-001-0051","AQS"
"12/17/2019","25","","RIVER TERRACE","11-001-0041","AQS"
"12/18/2019","29","","RIVER TERRACE","11-001-0041","AQS"
"12/19/2019","30","","Near Road","11-001-0051","AQS"
"12/20/2019","60","","RIVER TERRACE","11-001-0041","AQS"
"12/21/2019","70","","Near Road","11-001-0051","AQS"
"12/22/2019","81","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/23/2019","91","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/24/2019","78","","Near Road","11-001-0051","AQS"
"12/25/2019","76","","Near Road","11-001-0051","AQS"
"12/26/2019","62","","Near Road","11-001-0051","AQS"
"12/27/2019","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/28/2019","64","","Near Road","11-001-0051","AQS"
"12/29/2019","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/30/2019","20","","Near Road","11-001-0051","AQS"
"12/31/2019","23","","RIVER TERRACE","11-001-0041","AQS"
"01/01/2020","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2020","43","","Near Road","11-001-0051","AQS"
"01/03/2020","30","","Near Road","11-001-0051","AQS"
"01/04/2020","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/05/2020","14","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2020","21","","RIVER TERRACE","11-001-0041","AQS"
"01/07/2020","32","","RIVER TERRACE","11-001-0041","AQS"
"01/08/2020","22","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/09/2020","22","","RIVER TERRACE","11-001-0041","AQS"
"01/10/2020","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/11/2020","31","","Near Road","11-001-0051","AQS"
"01/12/2020","10","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/13/2020","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/14/2020","43","","Near Road","11-001-0051","AQS"
"01/15/2020","41","","Near Road","11-001-0051","AQS"
"01/16/2020","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/17/2020","15","","RIVER TERRACE","11-001-0041","AQS"
"01/18/2020","26","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/19/2020","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/20/2020","21","","Near Road","11-001-0051","AQS"
"01/21/2020","18","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/22/2020","42","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/23/2020","63","","Near Road","11-001-0051","AQS"
"01/24/2020","50","","Near Road","11-001-0051","AQS"
"01/25/2020","13","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/26/2020","12","","RIVER TERRACE","11-001-0041","AQS"
"01/27/2020","24","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/28/2020","19","","RIVER TERRACE","11-001-0041","AQS"
"01/29/2020","21","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/30/2020","35","","Near Road","11-001-0051","AQS"
"01/31/2020","44","","Near Road","11-001-0051","AQS"
"02/01/2020","62","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/02/2020","36","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/03/2020","32","","Near Road","11-001-0051","AQS"
"02/04/2020","37","","Near Road","11-001-0051","AQS"
"02/05/2020","32","","RIVER TERRACE","11-001-0041","AQS"
"02/06/2020","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/07/2020","9","","RIVER TERRACE","11-001-0041","AQS"
"02/08/2020","17","","RIVER TERRACE","11-001-0041","AQS"
"02/09/2020","30","","RIVER TERRACE","11-001-0041","AQS"
"02/10/2020","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2020","31","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/12/2020","34","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/13/2020","18","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/14/2020","14","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/15/2020","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/16/2020","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2020","49","","Near Road","11-001-0051","AQS"
"02/18/2020","45","","Near Road","11-001-0051","AQS"
"02/19/2020","20","","King Greenleaf Rec Center","11-001-0053","AQS"
"02/20/2020","30","","RIVER TERRACE","11-001-0041","AQS"
"02/21/2020","20","","RIVER TERRACE","11-001-0041","AQS"
"02/22/2020","31","","RIVER TERRACE","11-001-0041","AQS"
"02/23/2020","51","","RIVER TERRACE","11-001-0041","AQS"
"02/24/2020","51","","Near Road","11-001-0051","AQS"
"02/25/2020","37","","Near Road","11-001-0051","AQS"
"02/26/2020","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2020","13","","RIVER TERRACE","11-001-0041","AQS"
"02/28/2020","22","","RIVER TERRACE","11-001-0041","AQS"
"02/29/2020","23","","RIVER TERRACE","11-001-0041","AQS"
"03/01/2020","25","","RIVER TERRACE","11-001-0041","AQS"
"03/02/2020","40","","Near Road","11-001-0051","AQS"
"03/03/2020","33","","Near Road","11-001-0051","AQS"
